timestamp,symbol,direction,lot,ret
2025-12-29T01:11:59.870000,JP225.cash,-1,773364853.75,10014
2025-12-29T01:12:04.873000,EURUSD,1,495413.25,10014
2025-12-29T01:12:04.877000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:04.877000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:04.877000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:04.877000,USDCHF,-1,390895.92,10014
2025-12-29T01:12:04.888000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:04.895000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:04.900000,US500.cash,-1,49541324.99,10014
2025-12-29T01:12:04.901000,JP225.cash,-1,773379716.15,10014
2025-12-29T01:12:09.904000,EURUSD,1,495413.25,10014
2025-12-29T01:12:09.904000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:09.904000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:09.912000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:09.913000,USDCHF,-1,390895.92,10014
2025-12-29T01:12:09.913000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:09.921000,JP225.cash,-1,773384670.28,10014
2025-12-29T01:12:14.923000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:14.923000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:14.923000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:14.930000,USDCHF,-1,390915.73,10014
2025-12-29T01:12:14.930000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:14.930000,US500.cash,1,49541324.99,10014
2025-12-29T01:12:14.930000,JP225.cash,-1,773493661.2,10014
2025-12-29T01:12:19.940000,EURUSD,1,495413.25,10014
2025-12-29T01:12:19.944000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:19.944000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:19.944000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:19.944000,USDCHF,-1,390920.69,10014
2025-12-29T01:12:19.952000,XAUUSD,-1,495413.25,10014
